pair,class,tp,fp,fn
fdk_pos1_000193,shell,6563,26,3347
fdk_pos1_000193,kernel,21103,363,3851
fdk_pos1_000193,septa,1852,4710,1070
fdk_pos1_000226,shell,7005,26,3367
fdk_pos1_000226,kernel,16186,356,2635
fdk_pos1_000226,septa,2024,3923,1014
fdk_pos1_000245,shell,6933,6,3273
fdk_pos1_000245,kernel,14828,204,3285
fdk_pos1_000245,septa,2127,4499,953
fdk_pos1_000248,shell,6867,19,2881
fdk_pos1_000248,kernel,15067,512,2705
fdk_pos1_000248,septa,1688,4727,845
